9000014864;Czech Republic ; Eastern Europe ; East;241.5;;;;;;
9000145215;France ; France International ; West;57.5;;;;;;
9000097495;Germany ; Central Europe ; East;161.0;;;;;;
9000212350;Netherlands ; Netherlands ; North;322.0;;;;;;
9000096196;France ; France International ; West;517.5;;;;;;
9000126367;United Kingdom ; Great Britain ; North;57.5;;;;;;
9000048152;Switzerland ; Central Europe ; East;57.5;;;;;;
9000198739;France ; France International ; West;57.5;;;;;;
9000149999;Romania ; Eastern Europe ; East;57.5;;;;;;
9000213362;Austria ; Central Europe ; East;161.0;;;;;;
9000077134;Portugal ;  Iberica ; South;172.5;;;;;;
9000105339;Germany ; Central Europe ; East;161.0;;;;;;
9000098490;Netherlands ; Netherlands ; North;57.5;;;;;;
9000123535;France ; France International ; West;345.0;;;;;;
9000156069;Belgium ; BeLux ; North;115.0;;;;;;
9000176986;Spain ;  Iberica ; South;172.5;;;;;;
9000013596;Spain ;  Iberica ; South;57.5;;;;;;
9000019913;France ; France International ; West;0.0;;;;;;
9000169019;Spain ;  Iberica ; South;57.5;;;;;;
9000000597;Italy ; South East Europe ; South;345.0;;;;;;
9000071182;France ; France International ; West;517.5;;;;;;
9000021128;Spain ;  Iberica ; South;57.5;;;;;;
9000087978;Italy ; South East Europe ; South;345.0;;;;;;
9000031147;Bulgaria ; Eastern Europe ; East;57.5;;;;;;
9000197595;Austria ; Central Europe ; East;161.0;;;;;;
9000120410;Germany ; Central Europe ; East;161.0;;;;;;
9000048414;Netherlands ; Netherlands ; North;57.5;;;;;;
9000095096;Poland ; Eastern Europe ; East;57.5;;;;;;
9000134397;Spain ;  Iberica ; South;57.5;;;;;;
9000106850;France ; France International ; West;345.0;;;;;;
9000130939;France ; France International ; West;345.0;;;;;;
9000125840;Germany ; Central Europe ; East;161.0;;;;;;
9000099670;Germany ; Central Europe ; East;161.0;;;;;;
9000062285;France ; France International ; West;345.0;;;;;;
9000210979;France ; France International ; West;345.0;;;;;;
9000113201;Germany ; Central Europe ; East;57.5;;;;;;
9000119537;Germany ; Central Europe ; East;161.0;;;;;;
9000186773;Serbia-Montenegro ; Eastern Europe ; East;57.5;;;;;;
9000032167;Germany ; Central Europe ; East;161.0;;;;;;
9000107582;Germany ; Central Europe ; East;161.0;;;;;;
9000096570;Slovakia ; Eastern Europe ; East;241.5;;;;;;
9000196486;Germany ; Central Europe ; East;161.0;;;;;;
9000161370;France ; France International ; West;57.5;;;;;;
9000174037;Austria ; Central Europe ; East;57.5;;;;;;
9000023951;Germany ; Central Europe ; East;57.5;;;;;;
9000178493;France ; France International ; West;345.0;;;;;;
9000195715;France ; France International ; West;345.0;;;;;;
9000016028;Germany ; Central Europe ; East;161.0;;;;;;
9000188728;France ; France International ; West;345.0;;;;;;
9000194232;France ; France International ; West;517.5;;;;;;
9000204349;France ; France International ; West;345.0;;;;;;
9000204526;France ; France International ; West;517.5;;;;;;
9000169767;France ; France International ; West;345.0;;;;;;
9000152327;France ; France International ; West;517.5;;;;;;
9000149138;France ; France International ; West;517.5;;;;;;
9000062658;France ; France International ; West;345.0;;;;;;
9000040865;France ; France International ; West;517.5;;;;;;
9000015385;France ; France International ; West;517.5;;;;;;
9000151383;Poland ; Eastern Europe ; East;241.5;;;;;;
9000216008;Germany ; Central Europe ; East;161.0;;;;;;
9000201675;France ; France International ; West;345.0;;;;;;
9000130842;Spain ;  Iberica ; South;172.5;;;;;;
9000199639;France ; France International ; West;345.0;;;;;;
9000010015;Poland ; Eastern Europe ; East;57.5;;;;;;
9000144862;Switzerland ; Central Europe ; East;161.0;;;;;;
9000120233;Switzerland ; Central Europe ; East;57.5;;;;;;
9000065120;Poland ; Eastern Europe ; East;241.5;;;;;;
