CurName;CurNameBel;CurNameEng
Сербский динар;Сербскі дынар;Serbian Dinar
Индонезийская рупия;Інданэзійская рупія;Rupiah
Хорватская куна;Харвацкая куна;Croatian Kuna
Юань Ренминби;Юань Рэнмінбі;Yuan Renminbi
Мексиканское песо;Мексіканскае песа;Mexican Peso
Китайский юань;Кітайскі юань;Yuan Renminbi
Турецкая лира;Турэцкая ліра;Turkish Lira
Манат;Манат;Manat
Боливар фуэрте;Балівар фуэртэ;Bolivar Fuerte
Новый манат;Новы манат;Manat
Суданский фунт;Суданскі фунт;Sudanese Pound
Иранский риал;Іранскі рыал;Iranian Rial
Грузинский купон;Грузінскі купон;Georgian coupon
Ливанский фунт;Ліванскі фунт;Lebanese Pound
Турецкая лира;Турэцкая ліра;Turkish Lira
Украинский карбованец;Украінскі карбаванец;Karbovanet
Таджикский рубль;Таджыкскі рубель;Tajik Ruble
Армянский драм;Армянскі драм;Armenian Dram
Азербайджанский манат;Азербайджанскі манат;Azerbaijanian Manat
Румынский лей;Румынскі лей;Leu
Новый румынский лей;Новы румынскі лей;New romanian Leu
Новый туркменский манат;Новы туркменскі манат;New Turkmenistan Manat
Йена;Ена;Yen
СДР (Специальные права заимствования);СДР (Спецыяльныя правы запазычвання);SDR (Special Drawing Rights)
Боливар;Балівар;Bolivar
Рупия;Рупія;Rupiah
Денар;Дэнар;Denar
Саудовский риял;Саудаўскі рыял;Saudi Riyal
Шри-ланкийская рупия;Шры-ланкійская рупія;Sri Lankan Rupee
Новозеландский доллар;Новазеландскі долар;New Zealand Dollar
Румынский лей;Румынскі лей;Romanian Leu
Куна;Куна;Kuna
Гривна;Грыўня;Hryvnia
Датская крона;Дацкая крона;Danish Krone
Евро;Еўра;Euro
Злотый;Злоты;Zloty
Исландская крона;Ісландская крона;Iceland Krona
Йена;Іена;Yen
Молдавский лей;Малдаўскі лей;Moldovan Leu
Норвежская крона;Нарвежская крона;Norwegian Krone
Российский рубль;Расійскі рубель;Russian Ruble
СДР (Специальные права заимствования);СДР (Спецыяльныя правы запазычвання);SDR (Special Drawing Right)
Сом;Сом;Som
Тенге;Тэнге;Tenge
Турецкая лира;Турэцкая ліра;Turkish Lira
Иранский риал;Іранскі рыал;Iranian Rial
Китайский юань;Кітайскі юань;Yuan Renminbi
Чешская крона;Чэшская крона;Czech Koruna
Шведская крона;Шведская крона;Swedish Krona
Алжирский динар;Алжырскі дынар;Algerian Dinar
Аргентинское песо;Аргенцінскае песа;Argentine Peso
Афгани;Афгані;Afghani
Бат;Бат;Baht
Боливар;Балівар;Bolivar
Бразильский реал;Бразільскі рэал;Brazilian Real
Вона;Вона;Won
Гонконгский доллар;Ганконгскі долар;Hong Kong Dollar
Денар;Дэнар;Denar
Дирхам ОАЭ;Дырхам ААЭ;UAE Dirham
Донг;Донг;Dong
Египетский фунт;Егіпецкі фунт;Egyptian Pound
Индийская рупия;Індыйская рупія;Indian Rupee
Иракcкий динар;Іракскі дынар;Iraqi Dinar
Кенийский шиллинг;Кенійскі шылінг;Kenyan Shilling
Кип;Кіп;Kip
Колумбийское песо;Калумбійскае песа;Colombian Peso
Куна;Куна;Kuna
Лари;Лары;Lari
Лек;Лек;Lek
Малайзийский ринггит;Малайзійскі рынгіт;Malaysian Ringgit
Марокканский дирхам;Мараканскі дырхам;Moroccan Dirham
Мексиканское песо;Мексіканскае песа;Mexican Peso
Найра;Найра ;Naira
Непальcкая рупия;Непальская рупія;Nepalese Rupee
Новый израильский шекель;Новы ізраільскі шэкель;New Israeli Sheqel
Соль;Соль;Sol
Новый тайваньский доллар;Новы тайваньскі долар;New Taiwan Dollar
Новый туркменский манат;Новы туркменскі манат;Turkmenistan New Manat
Пакистанская рупия;Пакістанская рупія;Pakistan Rupee
Румынский лей;Румынскі лей;Romanian Leu
Рупия;Рупія;Rupiah
Рэнд;Рэнд;Rand
Саудовский риял;Саудаўскі рыял;Saudi Riyal
Сербский динар;Сербскі дынар;Serbian Dinar
Сирийский фунт;Сірыйскі фунт;Syrian Pound
Сомони;Самані;Somoni
Суданский фунт;Суданскі фунт;Sudanese Pound
Узбекский сум;Узбекскі сум;Uzbekistan Sum
Уругвайское песо;Уругвайскае песа;Peso Uruguayo
Филиппинcкое песо;Філіпінскае песа;Philippine Peso
Форинт;Форынт;Forint
Шри-ланкийская рупия;Шры-ланкійская рупія;Sri Lanka Rupee
Эфиопский быр;Эфіопскі быр;Ethiopian Birr
Тунисский динар;Туніскі дынар;Tunisian Dinar
Лаосский кип;Лаоскі кіп;Lao Kip
Азербайджанский манат;Азербайджанскі манат;Azerbaijan Manat
